id	prim_cat	sec_cats	title	abstract
0704.3771	q-bio	q-bio.PE q-bio.MN	Primordial Evolution in the Finitary Process Soup	"  A general and basic model of primordial evolution--a soup of reacting
finitary and discrete processes--is employed to identify and analyze
fundamental mechanisms that generate and maintain complex structures in
prebiotic systems. The processes--$\epsilon$-machines as defined in
computational mechanics--and their interaction networks both provide well
defined notions of structure. This enables us to quantitatively demonstrate
hierarchical self-organization in the soup in terms of complexity. We found
that replicating processes evolve the strategy of successively building higher
levels of organization by autocatalysis. Moreover, this is facilitated by local
components that have low structural complexity, but high generality. In effect,
the finitary process soup spontaneously evolves a selection pressure that
favors such components. In light of the finitary process soup's generality,
these results suggest a fundamental law of hierarchical systems: global
complexity requires local simplicity.
"
0705.1053	q-bio	q-bio.PE	Anisotropic probabilistic cellular automaton for a predator-prey system	"  We consider a probabilistic cellular automaton to analyze the stochastic
dynamics of a predator-prey system. The local rules are Markovian and are based
in the Lotka-Volterra model. The individuals of each species reside on the
sites of a lattice and interact with an unsymmetrical neighborhood. We look for
the effect of the space anisotropy in the characterization of the oscillations
of the species population densities. Our study of the probabilistic cellular
automaton is based on simple and pair mean-field approximations and explicitly
takes into account spatial anisotropy.
"
0705.1232	q-bio	physics.gen-ph q-bio.OT quant-ph	Nontrivial quantum effects in biology: A skeptical physicists' view	"  Invited contribution to ""Quantum Aspects of Life"", D. Abbott Ed. (World
Scientific, Singapore, 2007).
"
0705.1548	q-bio	q-bio.OT	Dimensionality and dynamics in the behavior of C. elegans	"  A major challenge in analyzing animal behavior is to discover some underlying
simplicity in complex motor actions. Here we show that the space of shapes
adopted by the nematode C. elegans is surprisingly low dimensional, with just
four dimensions accounting for 95% of the shape variance, and we partially
reconstruct ""equations of motion"" for the dynamics in this space. These
dynamics have multiple attractors, and we find that the worm visits these in a
rapid and almost completely deterministic response to weak thermal stimuli.
Stimulus-dependent correlations among the different modes suggest that one can
generate more reliable behaviors by synchronizing stimuli to the state of the
worm in shape space. We confirm this prediction, effectively ""steering"" the
worm in real time.
"
0705.3895	q-bio	q-bio.GN cs.IT math.IT physics.bio-ph quant-ph	Towards Understanding the Origin of Genetic Languages	"  Molecular biology is a nanotechnology that works--it has worked for billions
of years and in an amazing variety of circumstances. At its core is a system
for acquiring, processing and communicating information that is universal, from
viruses and bacteria to human beings. Advances in genetics and experience in
designing computers have taken us to a stage where we can understand the
optimisation principles at the root of this system, from the availability of
basic building blocks to the execution of tasks. The languages of DNA and
proteins are argued to be the optimal solutions to the information processing
tasks they carry out. The analysis also suggests simpler predecessors to these
languages, and provides fascinating clues about their origin. Obviously, a
comprehensive unraveling of the puzzle of life would have a lot to say about
what we may design or convert ourselves into.
"
0706.3177	q-bio	q-bio.NC	Role of homeostasis in learning sparse representations	"  Neurons in the input layer of primary visual cortex in primates develop
edge-like receptive fields. One approach to understanding the emergence of this
response is to state that neural activity has to efficiently represent sensory
data with respect to the statistics of natural scenes. Furthermore, it is
believed that such an efficient coding is achieved using a competition across
neurons so as to generate a sparse representation, that is, where a relatively
small number of neurons are simultaneously active. Indeed, different models of
sparse coding, coupled with Hebbian learning and homeostasis, have been
proposed that successfully match the observed emergent response. However, the
specific role of homeostasis in learning such sparse representations is still
largely unknown. By quantitatively assessing the efficiency of the neural
representation during learning, we derive a cooperative homeostasis mechanism
that optimally tunes the competition between neurons within the sparse coding
algorithm. We apply this homeostasis while learning small patches taken from
natural images and compare its efficiency with state-of-the-art algorithms.
Results show that while different sparse coding algorithms give similar coding
results, the homeostasis provides an optimal balance for the representation of
natural images within the population of neurons. Competition in sparse coding
is optimized when it is fair. By contributing to optimizing statistical
competition across neurons, homeostasis is crucial in providing a more
efficient solution to the emergence of independent components.
"
0707.1078	q-bio	cond-mat.soft q-bio.CB	Molecular Dynamics Simulation of Vascular Network Formation	"  Endothelial cells are responsible for the formation of the capillary blood
vessel network. We describe a system of endothelial cells by means of
two-dimensional molecular dynamics simulations of point-like particles. Cells'
motion is governed by the gradient of the concentration of a chemical substance
that they produce (chemotaxis). The typical time of degradation of the chemical
substance introduces a characteristic length in the system. We show that
point-like model cells form network resembling structures tuned by this
characteristic length, before collapsing altogether. Successively, we improve
the non-realistic point-like model cells by introducing an isotropic strong
repulsive force between them and a velocity dependent force mimicking the
observed peculiarity of endothelial cells to preserve the direction of their
motion (persistence). This more realistic model does not show a clear network
formation. We ascribe this partial fault in reproducing the experiments to the
static geometry of our model cells that, in reality, change their shapes by
elongating toward neighboring cells.
"
0709.3606	q-bio	q-bio.MN cond-mat.stat-mech	"Noise enhanced persistence in a biochemical regulatory network with
  feedback control"	"  We find that discrete noise of inhibiting (signal) molecules can greatly
delay the extinction of plasmids in a plasmid replication system: a
prototypical biochemical regulatory network. We calculate the probability
distribution of the metastable state of the plasmids and show on this example
that the reaction rate equations may fail in predicting the average number of
regulated molecules even when this number is large, and the time is much
shorter than the mean extinction time.
"
0711.2314	q-bio	cond-mat.stat-mech cond-mat.dis-nn nlin.AO physics.bio-ph physics.soc-ph q-bio.PE	"Finite size effects and symmetry breaking in the evolution of networks
  of competing Boolean nodes"	"  The effects of the finite size of the network on the evolutionary dynamics of
a Boolean network are analyzed. In the model considered, Boolean networks
evolve via a competition between nodes that punishes those in the majority. It
is found that finite size networks evolve in a fundamentally different way than
infinitely large networks do. The symmetry of the evolutionary dynamics of
infinitely large networks that selects for canalizing Boolean functions is
broken in the evolutionary dynamics of finite size networks. In finite size
networks there is an additional selection for input inverting Boolean functions
that output a value opposite to the majority of input values. These results are
revealed through an empirical study of the model that calculates the frequency
of occurrence of the different possible Boolean functions. Classes of functions
are found to occur with the same frequency. Those classes depend on the
symmetry of the evolutionary dynamics and correspond to orbits of the relevant
symmetry group. The empirical results match analytic results, determined by
utilizing Polya's theorem, for the number of orbits expected in both finite
size and infinitely large networks. The reason for the symmetry breaking in the
evolutionary dynamics is found to be due to the need for nodes in finite size
networks to behave differently in order to cooperate so that the system
collectively performs as well as possible. The results suggest that both finite
size effects and symmetry are important for understanding the evolution of
real-world complex networks, including genetic regulatory networks.
"
0712.0744	q-bio	cs.MA cs.AI q-bio.PE q-bio.QM	Computational Chemotaxis in Ants and Bacteria over Dynamic Environments	"  Chemotaxis can be defined as an innate behavioural response by an organism to
a directional stimulus, in which bacteria, and other single-cell or
multicellular organisms direct their movements according to certain chemicals
in their environment. This is important for bacteria to find food (e.g.,
glucose) by swimming towards the highest concentration of food molecules, or to
flee from poisons. Based on self-organized computational approaches and similar
stigmergic concepts we derive a novel swarm intelligent algorithm. What strikes
from these observations is that both eusocial insects as ant colonies and
bacteria have similar natural mechanisms based on stigmergy in order to emerge
coherent and sophisticated patterns of global collective behaviour. Keeping in
mind the above characteristics we will present a simple model to tackle the
collective adaptation of a social swarm based on real ant colony behaviors (SSA
algorithm) for tracking extrema in dynamic environments and highly multimodal
complex functions described in the well-know De Jong test suite. Later, for the
purpose of comparison, a recent model of artificial bacterial foraging (BFOA
algorithm) based on similar stigmergic features is described and analyzed.
Final results indicate that the SSA collective intelligence is able to cope and
quickly adapt to unforeseen situations even when over the same cooperative
foraging period, the community is requested to deal with two different and
contradictory purposes, while outperforming BFOA in adaptive speed. Results
indicate that the present approach deals well in severe Dynamic Optimization
problems.
"
