id	prim_cat	sec_cats	title	abstract
0704.0394	q-fin	q-fin.RM math.PR	Average optimality for risk-sensitive control with general state space	"  This paper deals with discrete-time Markov control processes on a general
state space. A long-run risk-sensitive average cost criterion is used as a
performance measure. The one-step cost function is nonnegative and possibly
unbounded. Using the vanishing discount factor approach, the optimality
inequality and an optimal stationary strategy for the decision maker are
established.
"
0707.1897	q-fin	q-fin.GN physics.soc-ph	"Maximum Entropy, the Collective Welfare Principle and the Globalization
  Process"	"  Although both systems analyzed are described through two theories apparently
different (quantum mechanics and game theory) it is shown that both are
analogous and thus exactly equivalents. The quantum analogue of the replicator
dynamics is the von Neumann equation. Quantum mechanics could be used to
explain more correctly biological and economical processes. It could even
encloses theories like games and evolutionary dynamics. We can take some
concepts and definitions from quantum mechanics and physics for the best
understanding of the behavior of economics and biology. Also, we could maybe
understand nature like a game in where its players compete for a common welfare
and the equilibrium of the system that they are members. All the members of our
system will play a game in which its maximum payoff is the equilibrium of the
system. They act as a whole besides individuals like they obey a rule in where
they prefer to work for the welfare of the collective besides the individual
welfare. A system where its members are in Nash Equilibrium (or ESS) is exactly
equivalent to a system in a maximum entropy state. A system is stable only if
it maximizes the welfare of the collective above the welfare of the individual.
If it is maximized the welfare of the individual above the welfare of the
collective the system gets unstable an eventually collapses. The results of
this work shows that the ""globalization"" process has a behavior exactly
equivalent to a system that is tending to a maximum entropy state and predicts
the apparition of big common markets and strong common currencies that will
find its ""equilibrium"" by decreasing its number until they get a state
characterized by only one common currency and only one common market around the
world.
"
0710.1307	q-fin	q-fin.GN physics.soc-ph	Common Markets, Strong Currencies & the Collective Welfare	"  The so called ""globalization"" process (i.e. the inexorable integration of
markets, currencies, nation-states, technologies and the intensification of
consciousness of the world as a whole) has a behavior exactly equivalent to a
system that is tending to a maximum entropy state. This globalization process
obeys a collective welfare principle in where the maximum payoff is given by
the equilibrium of the system and its stability by the maximization of the
welfare of the collective besides the individual welfare. This let us predict
the apparition of big common markets and strong common currencies. They will
reach the ""equilibrium"" by decreasing its number until they reach a state
characterized by only one common currency and only one big common community
around the world.
"
0809.2270	q-fin	q-fin.CP math.PR	On incompleteness of bond markets with infinite number of random factors	"  The completeness of a bond market model with infinite number of sources of
randomness on a finite time interval in the Heath-Jarrow-Morton framework is
studied. It is proved that the market is not complete. A construction of a
bounded contingent claim, which can not be replicated, is provided.
"
0901.0401	q-fin	q-fin.ST cs.IT math.IT physics.data-an physics.pop-ph stat.CO stat.ME	"From Physics to Economics: An Econometric Example Using Maximum Relative
  Entropy"	"  Econophysics, is based on the premise that some ideas and methods from
physics can be applied to economic situations. We intend to show in this paper
how a physics concept such as entropy can be applied to an economic problem. In
so doing, we demonstrate how information in the form of observable data and
moment constraints are introduced into the method of Maximum relative Entropy
(MrE). A general example of updating with data and moments is shown. Two
specific econometric examples are solved in detail which can then be used as
templates for real world problems. A numerical example is compared to a large
deviation solution which illustrates some of the advantages of the MrE method.
"
0901.3812	q-fin	q-fin.TR	The Minimal Model of Financial Complexity	"  A representative investor generates realistic and complex security price
paths by following this trading strategy: if, a few ticks ago, the market asset
had two consecutive upticks or two consecutive downticks, then sell, and
otherwise buy. This simple, unique, and robust model is the smallest possible
deterministic model of financial complexity, and its generalization leads to
complex variety. Compared to a random walk, the minimal model generates time
series with fatter tails and more frequent crashes, thus more closely matching
the real world. It does all this without any parameter fitting.
"
0901.4604	q-fin	q-fin.CP math.AP math.NA	Laplace transformation method for the Black-Scholes equation	"  In this paper we apply the innovative Laplace transformation method
introduced by Sheen, Sloan, and Thom\'ee (IMA J. Numer. Anal., 2003) to solve
the Black-Scholes equation. The algorithm is of arbitrary high convergence rate
and naturally parallelizable. It is shown that the method is very efficient for
calculating various options. Existence and uniqueness properties of the Laplace
transformed Black-Scholes equation are analyzed. Also a transparent boundary
condition associated with the Laplace transformation method is proposed.
Several numerical results for various options under various situations confirm
the efficiency, convergence and parallelization property of the proposed
scheme.
"
0906.0658	q-fin	q-fin.PR	"Asymptotic Implied Volatility at the Second Order with Application to
  the SABR Model"	"  We provide a general method to compute a Taylor expansion in time of implied
volatility for stochastic volatility models, using a heat kernel expansion.
Beyond the order 0 implied volatility which is already known, we compute the
first order correction exactly at all strikes from the scalar coefficient of
the heat kernel expansion. Furthermore, the first correction in the heat kernel
expansion gives the second order correction for implied volatility, which we
also give exactly at all strikes. As an application, we compute this asymptotic
expansion at order 2 for the SABR model.
"
0910.0087	q-fin	q-fin.ST nlin.CD	Wavelet Based Volatility Clustering Estimation of Foreign Exchange Rates	"  We have presented a novel technique of detecting intermittencies in a
financial time series of the foreign exchange rate data of U.S.- Euro
dollar(US/EUR) using a combination of both statistical and spectral techniques.
This has been possible due to Continuous Wavelet Transform (CWT) analysis which
has been popularly applied to fluctuating data in various fields science and
engineering and is also being tried out in finance and economics. We have been
able to qualitatively identify the presence of nonlinearity and chaos in the
time series of the foreign exchange rates for US/EURO (United States dollar to
Euro Dollar) and US/UK (United States dollar to United Kingdom Pound)
currencies. Interestingly we find that for the US-INDIA(United States dollar to
Indian Rupee) foreign exchange rates, no such chaotic dynamics is observed.
This could be a result of the government control over the foreign exchange
rates, instead of the market controlling them.
"
0911.0562	q-fin	q-fin.PR	"A remark on Gatheral's 'most-likely path approximation' of implied
  volatility"	"  We give a new proof of the representation of implied volatility as a
time-average of weighted expectations of local or stochastic volatility. With
this proof we clarify the question of existence of 'forward implied variance'
in the original derivation of Gatheral, who introduced this representation in
his book 'The Volatility Surface'.
"
